data_source,platform,address_id,city,neighborhood,zone_type,lat,lon,product_name,item_price_mxn,delivery_fee_mxn,service_fee_mxn,total_checkout_mxn,eta_minutes,promotions_visible,store_available,scraped_at
playwright_rappi,rappi,MX_GDL_01,Guadalajara,Zapopan Centro,urban_core,20.676,-103.348,Combo Big Mac,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:41:31Z
playwright_rappi,rappi,MX_GDL_01,Guadalajara,Zapopan Centro,urban_core,20.676,-103.348,McNuggets 10 piezas,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:41:31Z
playwright_rappi,rappi,MX_GDL_02,Guadalajara,Tlaquepaque Centro,urban_secondary,20.64,-103.31,Coca-Cola 600ml,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:42:02Z
playwright_rappi,rappi,MX_GDL_02,Guadalajara,Tlaquepaque Centro,urban_secondary,20.64,-103.31,Combo Big Mac,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:42:02Z
playwright_rappi,rappi,MX_GDL_02,Guadalajara,Tlaquepaque Centro,urban_secondary,20.64,-103.31,McNuggets 10 piezas,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:42:02Z
playwright_rappi,rappi,MX_HMO_01,Hermosillo,Centro,urban_secondary,29.089,-110.961,Coca-Cola 600ml,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T18:12:45Z
playwright_rappi,rappi,MX_HMO_01,Hermosillo,Centro,urban_secondary,29.089,-110.961,Combo Big Mac,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T18:12:45Z
playwright_rappi,rappi,MX_HMO_01,Hermosillo,Centro,urban_secondary,29.089,-110.961,McNuggets 10 piezas,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T18:12:45Z
playwright_rappi,rappi,MX_LEO_01,León,Centro,urban_secondary,21.125,-101.686,Coca-Cola 600ml,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:46:13Z
playwright_rappi,rappi,MX_LEO_01,León,Centro,urban_secondary,21.125,-101.686,Combo Big Mac,,0.0,,,,Promoción visible en página (texto genérico),False,2026-04-02T17:46:13Z
